#1.2																																																																																																								
5565	103																																																																																																							
symbol	symbol	BR_BR8T	BR_BR10T	BR_BR14T	BR_BR16T	BR_BR17T	BR_BR20T	BR_BR6T	BR_BR15T	BR_BR21T	BR_BR29T	BR_BR31T	BR_BR32T	BR_U1	BR_U16	BR_UX7	BR_UX8	BR_UX19	BR_B24T	BR_B46T	BR_B30T	BR_B34T	BR_B36T	BR_B37T	BR_B38T	BR_B39T	BR_B41T	PR_PR29T	PR_PR13BT	PR_PR8T	PR_PR21T	PR_PR27T	PR_PR9T	PR_PR7T	PR_PR19T	PR_PR5T	PR_PR24T	PR_U40	PR_U41	PR_PR4	PR_PR3	PR_PR1	PR_PR10	PR_PR22	PR_PR12	PR_PR31	PR_PR30	PR_PR26	PR_PR16	PR_PR23	PR_PR6	PR_PR11	PR_PR17	LU_A_LU_A31T	LU_A_LU_A34T	LU_A_LU_A39T	LU_A_LU_A8T	LU_A_LU_A20T	LU_A_LU_A5T	LU_A_LU_A6T	LU_A_LU_A17T	LU_A_LU_A18T	LU_S_LU_S19T	LU_S_LU_S24T	LU_S_LU_S25T	LU_S_LU_S12T	LU_S_LU_S13T	LU_S_LU_S14T	LU_S_LU_S11T	LU_S_LU_S7T	LUA_U17	LUA_UX4	LUA_LU40T	LUA_LU44T	LUA_LU33T	LUS_U2	LUS_U19	LUS_LU41T	LUS_LU30T	LUS_LU26T	LUS_LU36T	CO_CO7T	CO_CO9T	CO_CO42T	CO_CO15T	CO_CO40T	CO_CO27T	CO_CO30T	CO_CO32T	CO_CO20T	CO_CO24T	CO_CO8T	CO_U6	CO_U12	CO_CO14T	CO_CO21T	CO_CO23T	CO_CO5T	CO_CO43T	CO_CO44T	CO_CO49T	CO_CO51T	CO_CO56T	CO_CO61T
PCF11	PCF11	84.93	68.9	196.29	200.61	139.46	200.65	214.66	346.89	143.17	116.42	129.54	155.77	78.42	148.89	88.69	121.28	197.53	118.72	129.84	164.57	115.71	85.32	149.89	137.63	104.71	98.97	170.71	159.1	145.58	124.79	135.1	144.18	197.93	183.68	146.2	165.73	106.48	199.04	165.35	253.91	207	132.87	195.74	168.82	222.08	166.77	239.98	131.24	137.82	149.27	182.31	106.48	204.44	164.43	102.22	81.97	115.79	92.44	50.44	110.13	269.97	114.22	79.08	91.47	65.04	60.23	89.01	39.63	20.2	106.84	101.42	119.63	106.14	86.23	96.77	85.88	71.49	79.32	125.58	83.44	138.95	111.22	111.71	121.13	94.43	81.01	127.86	155.27	191.97	206.56	42.04	114.24	112.5	109.6	147.87	141.43	47.9	78.58	49.57	128.85	136.5	38.46	143.36
PCGF2	PCGF2	511.19	859.535	791.71	540.345	588.71	1118.37	640.23	539.52	778.21	743.84	442	788.12	521.975	919.015	457.11	513.875	476.59	743.65	478.42	714.625	528.74	492.505	480.685	692.49	511.23	616.045	431.56	348.92	400.825	460.37	309	531.345	533.045	444.275	443.495	330.49	472.33	617.385	521.745	491.335	379	443.22	411.975	404.375	427.615	595.545	421.615	367.48	400.465	496.6	396.55	472.33	767.17	477.05	291.69	415.27	238.63	581.415	542.055	508.8	714.98	352.67	356.8	251.95	345.84	652.18	321.92	351.695	301.475	659.95	527.27	682.385	291.52	666.545	420.205	448.26	206.11	395.075	656.705	311.315	526.01	547.5	537.45	684.41	334.035	630.455	448.525	427.545	616.145	529.58	528.75	427.39	690.665	436.92	333.645	200.025	468.275	315.95	340.82	227.925	359.52	264.825	593.11
PCGF3	PCGF3	30.425	54.915	20	114.04	82.715	162.275	88.89	211.54	149.375	159.515	53.01	105.86	155.645	290.72	127.68	243.065	129.67	61.805	76.42	157.945	125.175	86.145	93.03	124.63	81.345	121.09	142.415	112.785	154.795	131.08	140.845	124.94	257.62	143.585	173.67	102.735	175.84	194.09	136.595	179.94	192	116.865	156.295	138.885	244.29	173.455	239.51	144.365	178.305	183.715	208.06	175.84	195.57	146.77	126.485	138.255	156.065	75.9	155.69	88.89	184.545	111.715	141.48	247.855	64.715	106.145	80.11	67.86	84.33	143.285	121.045	248.73	133.435	153.195	146.205	151.02	199.09	142.53	137.415	166.88	99.105	116.78	144.105	45.93	191.835	71.485	70.23	126.455	119.85	90.505	113.23	204.005	116.63	162.93	141.505	138.4	102.71	176.795	71.98	137.145	98.92	97.6	129.775
PCGF4	PCGF4	745.01	462.255	686.535	916.105	523.96	904.565	713.75	748.35	641.55	604.475	532.165	624.175	465.445	1261.715	397.175	433.2	503.24	679.965	610.76	641.18	728.02	736.6	476.075	591.71	600.54	610.49	695.29	587.575	687.615	665.385	550.45	639.735	461.83	703.475	513.155	617.85	602.745	868.21	790.83	449.35	661.5	707.98	642.66	641.41	688.445	499.845	378.325	483.415	673.7	774.085	1007.855	602.745	459.465	381.305	405.785	638.95	382.615	369.775	579.59	478.62	564.67	653.74	454.45	599.955	314.355	831.4	501.425	232.32	441.855	883.895	754.095	500.445	668.675	403.78	384.97	544.865	620.6	517.06	578.99	685.04	424.89	465.6	586.74	699.56	304.65	467.485	703.755	597.7	723.345	629.745	390.495	371.285	562.51	399.735	551.815	732.915	615.335	680.66	430.44	429.495	380.67	539.94	479.27
PCK1	PCK1	20	20	20	20	20	40.57	21.27	20	20	20	20	20	20.695	87.28	20	20	33.445	27.27	20	20	20	20	20	20	30.53	20	20	20	20	20	20	20	20	20	20	24.055	20	20	20	20	20	20	20	20	20	20	20	25.75	20	20	20	20	20	21.6	20	20	20	20.705	34.435	20	20.88	20	20	20	20	26.29	20	20	20	20.255	20	20	84.405	20	20	20	20	20	20	20	113.27	512.11	112.65	661.58	249.485	441.275	713.79	258.79	30.68	43.895	1272.835	1111.825	142.34	811.7	164.52	361.155	20	687.04	20	230.855	190.815	92.795	20
PCK2	PCK2	46.23	20	31.72	112.05	214.17	72.37	154.56	199.92	54.23	91.79	81.87	253.81	64.16	270.83	198.83	195.27	389.84	164.06	25.97	59.64	160.71	169.57	241.54	133.3	20	44.44	51.79	84.59	44.64	69.21	27.79	21.17	57.6	66.2	95.17	31.98	89.87	20	59.57	64.98	57	73.71	64.92	105.02	56.7	126.97	91.29	86.62	86.74	107.17	77.25	89.87	312.92	137.19	79.5	230.1	281.93	102.17	206.61	120.71	69.22	113.21	204.84	43.28	142.47	101.7	141.43	190.21	302.99	148.93	147.22	100.69	131.41	196.82	115.7	85.88	108.23	35.14	62.79	125.68	543.7	127.4	180.25	282.29	265.39	99.12	452.26	189.11	206.82	385.58	177.5	290.71	197.61	336.62	502.36	288.92	198.97	309.39	181.14	400.21	299.92	341.37	329.82
PCLO	PCLO	103.21	120.36	170.52	109.91	100.61	237.93	151.34	102.66	59.65	120.9	122.29	57.73	40.74	160.44	62.38	33.92	129.6	105.77	75.91	59.64	22.5	128.53	138.02	91.03	75.97	35.35	112.21	68.48	109.67	66.07	65.15	42.35	85.87	88.58	88.31	94.01	188.54	141.4	80.11	121.96	72	52.37	108.86	103.06	69.93	107.07	59.29	97.99	43.37	87.07	66.95	188.54	78.23	84.73	44.4	20	26.18	29.19	64.99	133.42	20.77	59.11	122.9	69.83	20	92.82	49.45	91.14	59.59	83.1	75.25	21.93	22.24	80.15	109.39	95.75	20	137.55	20.59	20	80.55	103.13	320.12	132.42	35.78	111.51	120.46	54.74	135.76	114.4	100.89	105.06	165.33	36.21	106.74	30.31	70.01	83.49	50.53	29.28	60.56	20	121.81
PCMT1	PCMT1	287.75333	438.12333	289.15333	355.7	374.87667	268.63	381.74	395.88	387.57	540.67	329.21333	380.17	296.04	348.51667	499.99667	653.99333	375.21	567.35667	318.94333	388.42333	386.06333	381.26	480.57	408.92	537.23667	540.97667	333.1	393.06333	323.50667	320.89667	203.76333	272.22667	267.74333	278.47	294.68	297.21333	340.93667	413.69	352.96333	175.60667	295.33333	282.22333	302.93667	307.21	313.74667	239.42	224.29667	239.74	303.6	273.02	252.00667	340.93667	108.19	204.43667	343.14333	235.69667	328.24333	195.26667	161.87	251.66333	195.88	542.36333	218.81	325.55	230.90667	281.08	222.85667	390.66333	268.31	152.89	229.73667	184.11667	234.18	277.98	275.93	212.22	406.12	321.61333	256.3	294.96	254.73667	325.90333	250.34	366.80333	293.22	269.72333	454.02333	397.47333	318.89333	319.90333	399.21333	220.66667	239.68	255.4	286.59667	392.64	433.25333	451.80333	289.18667	312.68667	362.72333	439.13	245.49
PCNA	PCNA	348.855	272.555	114.095	157.395	215.66	118	148.455	189.39	504.345	311.19	312.46	177.555	175.18	49.42	151.325	464.545	170.885	239.605	544.335	988	405.525	470.365	608.71	298.565	411.655	524.645	107.34	85.525	41.54	123.745	86.17	65.96	66.025	89.25	70.835	83.655	141.65	120.33	89.085	39.49	83	61.885	105.865	65.455	84.655	44.11	60.82	61.62	68.79	50.185	90.34	141.65	54.33	128.53	377.905	116.035	441.515	96.605	103.12	127.535	69.335	1502.855	187.685	408.165	302.48	479.875	355.545	464.635	1279.11	410.65	418.215	63.335	198.125	96.74	792.555	296.125	555.56	1535.12	248.58	247.75	311.62	313.94	575	396.23	509.41	981.67	349.235	689.77	347.35	168.895	761.365	122.205	306.69	681.555	239.64	589.465	349.115	120.495	677.365	233.295	943.98	505.8	309.675
PCNT2	PCNT2	194.58	211.94	52.54	165.4	61.76	20	136.31	56.19	20	150	209.34	38.13	31.57	20	222.22	27.75	282.19	165.13	134.84	157.95	72.86	95.05	145.57	88.86	20	291.86	70.97	96.67	199.93	67.12	26.83	41.34	53.41	125.87	20	132.78	126.02	20	21.57	29.99	54	57.22	126.83	116.8	90.72	20	134.58	158.37	147.46	20	114.33	126.02	56.33	20	20	20	39.27	20	20	20	20	35.07	23.82	34.42	20	20	21.76	20	20	20	20	88.72	101.08	119.71	20	20	87.38	240.96	69.99	30.9	26.18	20	58.2	20	20	40.03	212.39	20	86.97	74.15	20	48.96	20	20	20	20	46.06	20	20	20	20	28.85	20
PCNX	PCNX	20	20	62.46	59.76	79.69	20	20	20	20	20	61.14	20	20	20	20	56.53	102.42	56.12	47.94	50.81	52.5	20	71.17	56.35	59.54	38.38	78.64	87.61	69.88	83.89	56.53	65.54	49.22	66.2	20	63.97	85.97	126.09	62.65	35.99	53	64.98	86.89	98.15	56.7	114.66	20	59.5	44.34	41.14	53.56	85.97	20	20	20	29.63	20.14	20	20	20	20	20	20	20	20	20	20	20	20	20	90.51	20	44.48	58.84	20	20	29.79	104.42	65.88	49.45	54.37	20	20	115.99	20	20	99.33	96.55	20	61.44	84.08	20	20	38.16	58.76	20	56.19	20	81.04	64.42	119.2	68.27	85.27
PCNXL2	PCNXL2	120.41	91.58	136.81	131.25	100.61	307	200.71	350.13	271.15	162.31	182.4	128.54	132.4	259.27	184.21	141.83	164.09	123.04	161.8	269.5	61.07	99.37	86.26	144.13	89.31	168.66	36.44	33.23	63.08	88.09	73.78	66.54	111.01	53.15	52.98	36.83	97.69	276.49	81.14	43.99	48	111.53	63.92	55.95	53.87	69.17	124.23	20	80.96	87.07	76.22	97.69	149.16	113.99	46.46	112.58	77.53	102.17	130.95	90.01	242.28	60.11	203.88	84.58	20	321.89	20	123.84	98.98	56.12	201.75	184.43	30.33	255.66	142	54.29	120.15	85.34	240.86	183.36	95.65	113.24	159.59	183.74	89.46	24.78	87.7	68.68	237.58	213.98	156.01	134.64	58.7	113.51	65.61	174.77	112.38	115.9	134.42	81.99	66.33	88.47	111.5
PCOLCE	PCOLCE	668.68	630.59	536.34	679.74	479.14	714.88	758.83	597.6	683.31	367.16	531.65	1020.69	566.28	1556.93	613.06	1083.25	562.29	718.82	361.56	279.45	861.41	487.11	375.25	784.61	560.5	321.15	425.81	423.94	369.77	414.23	608.42	563.61	417.85	682.5	202.12	500.1	267.67	366.56	491.96	371.87	307	750.66	339.56	387.69	244.76	156.35	232.45	543.35	466.48	643	391.4	267.67	286.84	803.97	337.64	511.55	457.12	164.45	786.69	588.75	484.57	363.69	200.07	311.78	948.74	498.64	400.55	284.33	288.85	597.9	732.83	632.04	411.42	655.38	331.33	304.02	309.8	280.12	446.72	460.47	680.63	651.13	334.2	923.85	121.26	615.69	644.58	309.55	712.74	765.86	289.6	450.85	315.01	380.65	296.72	440.46	459.66	61.88	145.86	199.13	161.5	247.13	117.12
PCOLN3	PCOLN3	387.02	20	20	144.06	561.81	20	634.33	238.82	20	293.28	459.1	574.07	212.86	147.61	141.33	470.71	228.89	325.95	208.75	270.61	317.14	313.22	499.26	252.51	215.58	533.23	226.33	315.19	240.69	442.54	287.44	273.24	506.86	193.93	414.06	466.17	288.18	234.16	259.84	494.83	540	64.98	385.5	395.54	172.94	626.34	636.19	172.37	567.68	397.09	153.47	288.18	422.44	672.83	288.08	173.81	646.42	803.77	395.77	530.51	608.18	196.37	270.58	596.02	54.72	20	388.68	253.62	390.85	461.91	162.49	584.19	316.4	110.58	200.9	272.43	269.09	365.46	63.82	252.38	185.26	434.76	236.57	20	418.46	217.3	406.82	340.41	191.97	413.12	130.79	587.53	417.73	339.55	857.84	192.95	135.41	395.82	146.82	504.66	240.32	276.94	337.31
PCP4	PCP4	20	20	20	20	20	42.76	20	24.85	104.12	20	20	20	20	46.21	169.59	20	20	20	20	102.72	20	21.6	163.9	20	20	155.53	897.65	649.51	957.91	733.02	780.88	565.63	1483.94	114.68	1975.11	62.03	20	54.04	611.09	1154.61	1735	405.39	153.8	1138.54	769.24	1029.06	380.21	111.99	817.31	406.66	437.75	20	20	490.25	22.72	1131.74	1606.98	50.6	58.2	26.47	42.52	49.09	30.49	20	22.71	82.94	20	20	20	20	20	199.38	26.28	101.45	20	20	29.79	20	23.67	21.63	50.34	141.55	712.53	20	20	20	52.83	20	20	20	20	142.8	29.35	20	69.53	47.48	23.95	57.95	20.97	20	20	27.89	262.36
PCSK5	PCSK5	20.43	32.27	20	20	20	32.89	33.27	20	20	20	20	20	26.48	125.79	20	20	20	20	20	23.2	20	20	20	20	26.69	20	20	20	20	20	20	20	20	20	20	24.23	20	26.12	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40.49	20	20	20	20	71.2	20	47.64	20	26.84	42.46	37.58	37.65	20	20	20	37.88	20	20	23.14	21.72	20	20	28.82	31.93	24.16	69.76	52.57	20	26.84	68.62	40.15	20	41.36	30.72	20	23.46	20	20	20	29.3	65.4	20	20	20	20	20	20
PCSK6	PCSK6	341.87	216.3	246.86	509	155.4	176.53	20	194.52	200.65	220.52	247.69	394.33	169.07	177.13	20	65.78	89.88	822.44	279.66	136.96	316.06	169.57	511.12	317.53	98.55	170.68	211.94	104.73	120.35	350.26	182.05	98.81	257.62	52.21	159.93	95.95	163.14	101.77	222.87	163.94	107	158.08	67.91	202.19	171.99	188.57	206.1	177.62	234.2	137.79	155.53	163.14	110.56	128.11	84.67	71.1	52.36	108.99	54.32	133.42	198.77	43.08	91.46	228.18	65.04	98.74	92.97	119.87	168.66	57.2	165.76	112.65	74.8	22.32	66.27	27.64	246.25	81.32	47.35	86.53	180.23	312.42	281.63	126.26	178.91	134.38	212.39	98.54	188.79	263.76	159.75	217.27	201.53	127.21	127.3	85.87	138.17	103.13	109.64	152.28	167.26	189.43	121.81
PCTK1	PCTK1	310.69333	75.86	48.24667	155.35	225.45667	71.08	142.75	140.48333	200.29	118.98	238.01333	222.94667	498.72	446.24333	249.18667	196.64333	202.41333	202.02	122.19333	218.69667	101.30667	137.35333	184.94667	165.61333	184.26333	270.99333	150.88667	112.44667	118.08	168.48667	160.97	181.48667	140.67667	81.73667	137.36333	160.56	195.70667	136.29667	136.6	171.94	116.66667	93.95333	73.57	123.34	125.05667	136.13667	73.41	132.41333	121.12	118.96667	177.50333	195.70667	64.73	466.04	516.26333	133.73	274.54333	147.26	114.98667	295.78333	55.12333	218.41667	117.82	181.95	340.68	217.56	151.06	171.72333	345.07	871.3	362.05333	317.02	255.74667	127.15333	211.42	106.36	300.86667	218.53667	146.16333	207.06	129.16667	183.00667	107.33333	56.96333	135.84333	76.87667	251.13667	165.89	171.82	288.48	79.22333	208.76333	194.35	387.50333	253.30333	428.67	152.91333	250.78333	419.79667	421.69	170.14667	381.11333	225.18667
PCYT1A	PCYT1A	20	102.05	92.2	20	30.88	83.33	71.91	98.34	108.46	66.04	46.64	74.07	20.37	86	20	56.53	103.47	20	20	20	20	56.16	81.95	82.36	24.64	20	20	20	20	20	20	20	20	20	20	20	20	20	32.87	51.98	26	20	20	20	20	20	20	20	20	20	20	20	140.81	20	69.18	42.46	29.2	20	43.65	57.18	20	36.07	143.86	39.34	293.19	157	65.27	256.59	209.06	20	20	20	20	24.35	77.84	50.34	93.34	63.25	135.87	20	106.73	48.53	60.08	85.2	61.63	61.95	84.53	93.56	20.15	56.14	22.42	58.14	20	62.63	53.86	107.08	81.06	100.18	110.59	39.05	96.13	58.66	20
PCYT2	PCYT2	109.66	58.44	60.47	20	83.67	127.19	20	32.42	20	20	20	20	40.74	20	20	123.33	26.13	20	20	33.14	26.79	27	20	81.28	42.09	25.25	51.79	86.6	86.38	20	89.11	51.42	55.5	40.09	76.53	129.87	48.84	20	149.95	44.98	125	20	124.84	53.98	30.24	176.25	39.53	20	59.76	20	37.08	48.84	38.59	80.7	261.23	20	20	20	20	82.59	144.38	36.07	75.27	20	52.65	20	20	66.38	20	121.95	101.42	49.85	20	20	20	20	142.99	20	20	20	39.27	157.73	20	246.36	108.34	136.29	20	51.76	36.06	84.74	20	113.22	64.57	20	40.15	20	133.57	70.72	305.08	93.71	219.17	85.58	29.05
PD2	PD2	294.56	212.81	212.16	228.36	193.25	288.36	214.66	213.97	208.25	201.49	87.05	401.96	189.44	179.7	71.15	124.36	165.13	249.32	153.81	259.56	183.21	240.85	216.74	196.15	153.98	196.93	277.16	240.67	246.51	312.51	226.12	240.97	245.05	178.08	252.16	323.7	275.48	131.49	334.82	318.89	283	170.69	282.63	306.23	270.27	345.86	214.57	230.11	277.58	117.69	333.72	275.48	299.36	135.17	203.41	150.11	237.62	68.12	61.11	145.07	186.9	203.39	242.95	223.26	142.47	527.27	260.11	138.7	175.73	237.43	201.75	20	122.31	65.94	200.9	318.83	166.82	120.48	190.42	187.48	205.4	101.11	72.29	187.85	155.06	76.25	159.56	199.07	112.43	236.22	123.31	140.76	164.35	118.4	20	185.88	51.58	107.06	86.76	130.8	161.5	166.36	122.74
PDCD10	PDCD10	380.57	343.64	158.62	142.99	276.92	115.13	252.23	314.47	592.2	597.76	391.74	249.45	324.9	693.11	274.85	373.08	436.87	436.04	467.43	688.12	334.28	348.86	636.2	554.86	885.93	1807.74	217.7	245.71	237.78	321.94	300.85	251.06	209.45	228.43	195.25	160.88	268.65	153.11	321.47	89.97	174	269.62	308.6	206.11	234.36	192.36	267.27	146.99	236.13	256.43	218.36	268.65	340.04	328.85	373.78	285.4	425.91	209.21	288.1	422.5	117.68	588.12	464.93	425.87	875.44	552.95	490.54	510.21	810.99	322.69	367.51	218.32	278.99	205.95	865.66	511.31	651.38	797.18	469.37	1826.43	292.99	377.13	402.74	343.88	308.13	450.8	606.54	362.3	436.98	349.56	330.7	184.62	320.88	293.56	250.69	497.03	442.16	397.79	271.71	426.57	305.69	451.95	242.68
PDCD11	PDCD11	20	20	20	20	20	20	20	47.55	20	20	27.98	20	20	441.54	20	98.66	20	20	20	20	20	33.48	20	20	20	42.42	20	20	20	20	21.08	20	20	20	20	20	20	30.62	20	20	26	20	20	20	20	20	20	20	20	20	20	20	20	20	20	68.14	46.32	41.84	138.71	20	20	20	20	20	20	78.01	20	20	29.29	20	20	20	20	20	32.61	20	20	20	23.67	20	37.25	20	20	63.64	40.75	20	20	20	72.12	87.92	98.09	44.88	20	20	20	20	20	20	20	20	28.84	20	67.46
PDCD2	PDCD2	20	20	20	20	49.81	20	20	20	20	20	36.27	20	20	20	20	235.36	20	47.49	20	20	20	56.16	20	20	21.56	146.44	87.27	20	20	25.17	27.79	58.48	32.46	20	112.84	88.2	124.07	20	47.24	20	58	20	20	20	83.16	20	20	110.24	63.61	20	60.77	124.07	20	20	82.6	20	68.47	20	20	20	20	221.42	20	50.16	59.88	20	20	69.35	55.55	20	20	20	21.23	20	20	47.38	123.13	42.17	20	20	45.31	20	20	20	20	76.25	20	20	20	20	101.83	20	20	182.01	20	30.31	21.19	84.47	86.76	59.54	175.92	96.16	20
PDCD4	PDCD4	68.8	71.52	73.36	112.05	122.52	221.48	203.93	421.45	20	423.13	155.45	88.23	60.09	79.58	77	48.3	195.44	62.6	151.82	83.94	43.93	101.53	45.29	152.8	48.25	40.4	30.69	59.41	58.23	45.09	34.49	60.5	40.84	98.83	24.53	36.83	41.03	21.62	88.33	70.98	61	40.73	49.93	40.24	73.71	66.33	79.05	26.25	76.14	61.24	36.05	41.03	35.46	59.52	64.02	36.54	45.31	36	63.05	23.3	71.2	20	20	38.36	22.71	20	37.58	26.75	63.63	57.2	20	47.85	36.39	28.41	66.27	37.51	20.85	46.18	54.55	44.3	47.32	34.38	41.31	36.95	42.74	27.64	64.46	53.75	20	94.28	20	105.06	35.22	25.44	67.57	79.81	20	66.79	20	41.97	25.95	20	37.48
PDCD6	PDCD6	1283.61	348.87	1064.75	847.27	1283.01	736.81	2261.46	1601.52	1372.04	1257.09	973.13	881.26	1843.46	274.68	699.8	1266.2	1845.74	1752.8	1562.1	915.65	1360.69	1532.6	1501.01	1794.63	1522.4	736.23	997.38	872.05	841.45	1090.62	938.97	800.55	989.64	848.46	808.49	905.21	990.57	905.14	1108.19	944.68	718	832.12	981.72	885.31	1149.14	705.94	768.88	814.58	1001.39	928.14	1181.41	990.57	694.68	1794.56	1206	1207.78	886.05	870.91	483.07	1755.65	488.52	1183.25	2691.46	1644.47	1340	1594.66	1732.73	377.46	926.13	3067.18	1161.41	925.13	1267.61	1141.34	870.92	1105.53	1819.11	887.54	1975.25	1378.32	801.46	822.01	1395.96	1077.83	1032.73	2597.13	1075.71	1376.56	932.29	1299.75	1187.36	1067.97	1455.68	692.81	1091.88	674.83	916.55	1212.02	1017.24	1172.33	1724.55	1399.12	850.78
PDCD8	PDCD8	136.53	77.62	119.96	204.88	243.05	37.28	99.82	194.52	60.74	173.51	165.82	112.2	111.01	143.76	102.34	79.14	70.03	156.5	195.76	184.46	243.21	173.89	113.22	172.31	147.83	103.01	112.21	107.75	65.03	103.82	93.9	78.64	75.4	103.49	93.21	138.59	197.33	61.24	87.3	69.98	99	48.49	67.91	117.78	98.28	91.91	93.17	131.24	154.21	65.07	106.09	197.33	20	87.76	110.48	92.83	169.16	51.57	20	105.89	41.53	69.13	41.92	73.77	66.07	98.74	85.05	110.96	76.76	134.9	74.16	75.77	103.11	29.42	92.56	96.73	109.23	44.18	143.07	60.78	175.19	84.93	218.74	20	371.74	129.62	229.3	109.49	175	166.31	239.15	130.56	100.76	206.47	162.56	184.87	145.54	121.79	118.22	153.25	132.66	179.82	297.96
PDE2A	PDE2A	20	20	20	20	20	122.8	157.78	142.65	20	20	20	20	20	504.43	48.73	20	20	20	25.97	85.05	20	20	20	20	20	20	20	20	20	44.04	20	20	52.36	96.97	52	20	72.29	22.52	30.81	50.98	64	20	20	20	20	94.76	33.88	70.87	20	20	29.87	72.29	67.8	20	20	20	20	20	155.2	20	59.33	20	20	20	20	161.93	52.42	20	20	20	70.88	20	20	31.45	20	20	40.71	20	87.49	92.71	20	20	50.69	20	20	20	20	20	20	20	20	20	20	20	49.94	128.3	53.43	20	20	72.23	20	20	20
PDE3B	PDE3B	26.665	32.675	35.775	20	20	36.315	37.37	30.53	31.69	41.905	20	33.42	20	87.01	29.98	23.875	27.77	25.11	26.98	28.225	20.715	20	20	20	20	41.41	257.015	137.955	249.91	322.99	206.96	166.87	278.04	146.85	136.875	106.61	204.175	288.65	83.705	222.425	99	141.595	220.71	319.97	308.545	168.665	155.28	135.615	142.64	212.895	359.985	204.175	40.77	35.725	40.27	39.995	67.965	39.895	78.87	26.94	75.65	31.06	41.445	63.93	20	49.865	41.54	41.115	43.43	23.49	51.985	33.925	42.455	69.495	20	37.51	70	41.165	67.935	54.6	62.425	26.795	30.185	62.35	33.3	32.395	40.115	45.285	36.59	51.84	40.83	76.5	47.935	50.885	60.225	97.99	20	99.2	26.205	83.95	37.49	45.195	35.3
PDE4A	PDE4A	248.34	80.24	248.84	214.49	198.23	423.23	275.84	136.16	139.92	241.79	225.92	236.38	48.89	499.3	91.62	88.39	104.52	134.91	313.62	249.62	191.78	146.89	187.63	202.65	160.14	242.38	71.93	73.51	85.41	116.4	48.86	100.83	83.78	73.66	29.44	130.84	92.81	70.25	52.38	56.98	38	20	87.88	66.74	60.48	62.54	37.64	20	51.08	65.07	61.8	92.81	240.95	146.27	51.63	147.15	140.96	132.34	220.19	110.13	110.76	67.13	78.12	108.19	48.52	134.29	140.44	45.57	145.43	118.72	105.78	124.61	81.88	106.53	116.75	20	109.23	146.58	143.07	123.62	230.57	139.53	135.18	202.22	138.16	297.36	173.3	145.32	462.43	469.26	124.25	178.5	165.33	57.73	45.05	20	144.62	52.06	91.52	89.8	89.4	73.08	37.48
PDE4B	PDE4B	163.41	31.4	208.19	273.18	75.71	20	114.84	39.98	59.65	150	29.02	57.73	369.71	65.46	59.45	64.75	128.55	61.52	782.05	77.32	77.14	981.77	189.78	28.18	298.73	83.82	100.7	300.08	304.75	226.51	172.46	611	255.53	142.65	166.8	135.68	192.45	129.69	534.07	108.96	328	290.95	774.99	230.65	145.53	203.73	97.87	246.74	63.61	192.33	345.05	192.45	120.99	25.22	32.01	41.48	48.33	67.14	21.34	54	98.89	63.12	20	20	54.72	32.58	115.71	20	20	20	35.99	62.81	166.79	115.66	33.66	57.25	20	20	20	157.61	47.32	20	20	20	36.78	20	20	93.56	22.27	20	28.03	43.86	20	20	20	43.44	20	20.63	86.76	23.43	20	46.16	36.54
PDE4C	PDE4C	260.16	700.36	244.87	129.12	328.72	321.26	774.93	752.13	126.9	181.34	460.14	616.55	619.24	1373.39	20	20	159.91	583.91	364.56	145.8	20	20	191.94	211.32	41.06	67.66	184.13	61.43	230.99	271.61	98.69	244	306.84	222.84	91.25	285.91	20	277.4	282.44	197.93	66	79.53	216.72	71.65	185.22	312.7	233.39	265.99	126.26	249.74	32.96	20	534.05	393.41	20	193.56	20	214.08	924.43	436.26	379.74	34.06	159.11	272.44	77.43	349.54	176.04	367.55	137.35	293.55	495.1	129.6	202.17	137.98	419.68	68.11	20	308.23	389.08	20	594.04	622.82	197.14	1435.05	224.64	111.51	257.83	133.38	956.68	783.87	192.44	415.15	48.91	92.96	354.49	582.9	512.16	71.7	33.37	287.96	301.84	91.35	356.05
PDE4DIP	PDE4DIP	49.66667	54.63667	91.59667	53	36.88	104.98	46.87	50.79333	67.97	54.47667	43.28667	51.19667	39.26	87.95667	52.8	56.87	91.62667	55.95667	44.94333	51.58333	69.99667	73.80333	33.07	50.21	56.45	38.65	33.83667	33.85333	45.61333	43.37	24.23	38.25667	33.89667	47.55	30.01333	35.3	53.73	31.88667	37.82	47.98667	28.66667	52.89333	36.95333	38.60333	33.70667	44.88333	38.66333	50.41667	37.75	25.13333	29.32667	53.73	75.85667	41.3	22.84333	47.81333	30.45	81.73667	70.68667	63.53333	76.88	36.72333	30.16333	26.00667	32.47333	69.2	48.86333	37.38	37.30333	63.86667	57.06667	33.93667	59.90333	37.77667	33.31333	47.05	32.15333	45.15333	48.86667	54.25333	56.00333	45.01333	48.6	47.04	31.55667	50.19	51.4	30.91667	50.55667	53.66667	39.67333	49.50667	59.31333	47.25667	38.98333	49.43333	53.03	39.28667	22.86667	38.55333	37.10667	26.22	50.59667
